keys,en,nl
add,Add,Toevoegen
cancel,Cancel,Annuleren
date,Date,Datum
no,No,Nee
ok,OK,OK
users,Users,Gebruikers
welcome,Welcome,Welkom
yes,Yes,Ja
appTitle,Eloff Street Notes,Eloff Street Notes
